Photo Title,Photo Hour,Photo Minute,Location,Photo Date,Dec. Time,Pct Time,Pct Time Adjusted
,0,0,houston,,0,0.00%,0.5
,0,0,houston,,0,0.00%,0.5
,0,1,tokyo,,0,0.00%,0.500011574
,0,16,nyc,,0.3,0.02%,0.500185185
,0,23,fort lauderdale,,0.4,0.03%,0.500266204
,1,43,nyc,,1.7,4.29%,0.542858796
,2,5,houston,,2.1,8.48%,0.584780093
,3,0,plano,,3,12.71%,0.627083333
,3,9,houston,,3.2,12.72%,0.6271875
,3,10,us canada border,,3.2,12.72%,0.627199074
,3,11,nyc,,3.2,12.72%,0.627210648
,3,18,houston,,3.3,12.73%,0.627291667
,3,19,houston,,3.3,12.73%,0.627303241
,4,3,washington dc,,4.1,16.95%,0.669479167
,4,47,nyc,,4.8,17.00%,0.669988426
,5,1,nyc,,5,21.18%,0.71181713
,6,0,nyc,,6,25.42%,0.754166667
,6,53,nyc,,6.9,25.48%,0.754780093
,16,48,vancouver,,16.8,67.83%,0.678333333
,16,51,nyc,,16.9,67.84%,0.678368056
,17,50,yogyakarta,,17.8,72.07%,0.720717593
,17,59,vancouver,,18,72.08%,0.720821759
,18,8,nyc,,18.1,76.26%,0.762592593
,18,11,nyc,,18.2,76.26%,0.762627315
,18,18,nyc,,18.3,76.27%,0.762708333
,18,21,nyc,,18.4,76.27%,0.762743056
,18,21,nyc,,18.4,76.27%,0.762743056
,18,29,angeles,,18.5,76.28%,0.762835648
,18,30,vancouver,,18.5,76.28%,0.762847222
,18,46,nyc,,18.8,76.30%,0.763032407
,18,53,nyc,,18.9,76.31%,0.763113426
,18,55,nyc,,18.9,76.31%,0.763136574
,19,2,nyc,,19,80.49%,0.804884259
,19,2,houston,,19,80.49%,0.804884259
,19,6,nyc,,19.1,80.49%,0.804930556
,19,11,nyc,,19.2,80.50%,0.804988426
,19,11,nyc,,19.2,80.50%,0.804988426
,19,12,nyc,,19.2,80.50%,0.805
,19,13,nyc,,19.2,80.50%,0.805011574
,19,14,nyc,,19.2,80.50%,0.805023148
,19,16,montreal,,19.3,80.50%,0.805046296
,19,16,nyc,,19.3,80.50%,0.805046296
,19,17,nyc,,19.3,80.51%,0.80505787
,19,18,nyc,,19.3,80.51%,0.805069444
,19,20,nyc,,19.3,80.51%,0.805092593
,19,20,tokyo,,19.3,80.51%,0.805092593
,19,24,nyc,,19.4,80.51%,0.805138889
,19,27,nyc,,19.5,80.52%,0.805173611
,19,27,tokyo,,19.5,80.52%,0.805173611
,19,28,tokyo,,19.5,80.52%,0.805185185
,19,28,tokyo,,19.5,80.52%,0.805185185
,19,29,nyc,,19.5,80.52%,0.805196759
,19,29,nyc,,19.5,80.52%,0.805196759
,19,29,nyc,,19.5,80.52%,0.805196759
,19,33,nyc,,19.6,80.52%,0.805243056
,19,33,tokyo,,19.6,80.52%,0.805243056
,19,38,nyc,,19.6,80.53%,0.805300926
,19,43,nyc,,19.7,80.54%,0.805358796
,19,44,nyc,,19.7,80.54%,0.80537037
,19,47,nyc,,19.8,80.54%,0.805405093
,19,49,tokyo,,19.8,80.54%,0.805428241
,19,51,portland,,19.9,80.55%,0.805451389
,19,54,orlando,,19.9,80.55%,0.805486111
,19,57,el nido,,20,80.55%,0.805520833
,20,5,sf,,20.1,84.73%,0.847280093
,20,5,manila,,20.1,84.73%,0.847280093
,20,6,guanajuato,,20.1,84.73%,0.847291667
,20,12,montreal,,20.2,84.74%,0.847361111
,20,14,tokyo,,20.2,84.74%,0.847384259
,20,14,dumaguete?,,20.2,84.74%,0.847384259
,20,18,nyc,,20.3,84.74%,0.847430556
,20,18,dumaguete,,20.3,84.74%,0.847430556
,20,21,guanajuato,,20.4,84.75%,0.847465278
,20,26,yogyakarta,,20.4,84.75%,0.847523148
,20,29,nyc,,20.5,84.76%,0.84755787
,20,35,berlin,,20.6,84.76%,0.847627315
,20,39,nyc,,20.7,84.77%,0.847673611
,20,39,tokyo,,20.7,84.77%,0.847673611
,20,39,yogyakarta,,20.7,84.77%,0.847673611
,20,43,denver,,20.7,84.77%,0.847719907
,20,44,nyc,,20.7,84.77%,0.847731482
,20,49,tokyo,,20.8,84.78%,0.847789352
,20,50,mexico city,,20.8,84.78%,0.847800926
,20,50,mexico city,,20.8,84.78%,0.847800926
,20,51,tokyo,,20.9,84.78%,0.8478125
,20,56,nyc,,20.9,84.79%,0.84787037
,20,58,tokyo,,21,84.79%,0.847893519
,20,59,nyc,,21,84.79%,0.847905093
,21,3,nyc,,21.1,88.96%,0.889618056
,21,4,nyc,,21.1,88.96%,0.88962963
,21,5,nyc,,21.1,88.96%,0.889641204
,21,6,nyc,,21.1,88.97%,0.889652778
,21,8,portland,,21.1,88.97%,0.889675926
,21,10,nyc,,21.2,88.97%,0.889699074
,21,11,tokyo,,21.2,88.97%,0.889710648
,21,12,nyc,,21.2,88.97%,0.889722222
,21,13,nyc,,21.2,88.97%,0.889733796
,21,14,beijing,,21.2,88.97%,0.88974537
,21,14,nyc,,21.2,88.97%,0.88974537
,21,15,nyc,,21.3,88.98%,0.889756944
,21,16,tokyo,,21.3,88.98%,0.889768519
,21,16,nyc,,12.3,50.85%,0.508518519
,21,18,nyc,,21.3,88.98%,0.889791667
,21,19,nyc,,21.3,88.98%,0.889803241
,21,20,nyc,,21.3,88.98%,0.889814815
,21,22,nyc,,21.4,88.98%,0.889837963
,21,25,nyc,,21.4,88.99%,0.889872685
,21,27,tokyo,,21.5,88.99%,0.889895833
,21,28,nyc,,21.5,88.99%,0.889907407
,21,33,nyc,,21.6,89.00%,0.889965278
,21,35,nyc,,21.6,89.00%,0.889988426
,21,38,nyc,,21.6,89.00%,0.890023148
,21,38,beijing,,21.6,89.00%,0.890023148
,21,38,nyc,,21.6,89.00%,0.890023148
,21,39,nyc,,21.7,89.00%,0.890034722
,21,42,nyc,,21.7,89.01%,0.890069444
,21,43,nyc,,21.7,89.01%,0.890081019
,21,43,tokyo,,21.7,89.01%,0.890081019
,21,44,nyc,,21.7,89.01%,0.890092593
,21,51,tokyo,,21.9,89.02%,0.890173611
,21,51,portland,,21.9,89.02%,0.890173611
,21,51,tokyo,,21.9,89.02%,0.890173611
,21,55,paris,,21.9,89.02%,0.890219907
,21,0,nyc,,21,88.96%,0.889583333
,21,5,nyc,,21.1,88.96%,0.889641204
,21,5,nyc,,21.1,88.96%,0.889641204
,21,6,nyc,,21.1,88.97%,0.889652778
,22,3,beijing,,22.1,93.20%,0.931979167
,22,6,tokyo,,22.1,93.20%,0.932013889
,22,7,nyc,,22.1,93.20%,0.932025463
,22,20,guanajuato,,22.3,93.22%,0.932175926
,22,25,sf,,22.4,93.22%,0.932233796
,22,34,nyc,,22.6,93.23%,0.932337963
,22,34,nyc,,22.6,93.23%,0.932337963
,22,39,houston,,22.7,93.24%,0.932395833
,22,44,tokyo,,22.7,93.25%,0.932453704
,22,45,tokyo,,22.8,93.25%,0.932465278
,22,48,nyc,,22.8,93.25%,0.9325
,22,52,nyc,,22.9,93.25%,0.932546296
,22,58,sf,,23,93.26%,0.932615741
,23,2,sf,,23,97.43%,0.974328704
,23,5,houston,,23.1,97.44%,0.974363426
,23,13,marthas vineyard,,23.2,97.45%,0.974456019
,23,18,nyc,,23.3,97.45%,0.974513889
,23,18,nyc,,23.3,97.45%,0.974513889
,23,20,nyc,,23.3,97.45%,0.974537037
,23,21,wylie,,23.4,97.45%,0.974548611
,23,23,berlin,,23.4,97.46%,0.974571759
